Designator,Mid X,Mid Y,Rotation,Layer
C1,81.0,81.5,180.0,top
C10,29.0,90.55,-90.0,top
C11,51.5,94.0,-90.0,top
C12,54.7,34.0,0.0,top
C13,57.4,75.7,90.0,top
C14,27.5,55.5,0.0,top
C15,27.5,39.5,0.0,top
C16,45.5,28.5,0.0,top
C17,61.5,28.5,0.0,top
C18,77.55,28.0,0.0,top
C19,62.0,43.5,90.0,top
C2,85.5,81.5,0.0,top
C20,59.9,59.5,90.0,top
C21,59.9,75.5,90.0,top
C22,59.9,43.5,90.0,top
C23,27.0,84.0,180.0,top
C24,27.0,68.0,180.0,top
C25,27.0,52.0,180.0,top
C26,27.0,36.0,180.0,top
C27,42.0,29.0,-90.0,top
C28,58.0,29.0,-90.0,top
C29,74.0,28.5,-90.0,top
C3,95.0,83.5,0.0,top
C30,90.0,28.5,-90.0,top
C31,19.9,7.5,-90.0,top
C32,6.6,12.8,180.0,top
C33,7.3,16.4,-90.0,top
C34,13.1,15.1,-90.0,top
C35,19.7,22.5,90.0,top
C36,74.8,73.8,-90.0,top
C37,87.8,72.8,-90.0,top
C38,74.8,65.8,-90.0,top
C39,87.8,64.8,-90.0,top
C4,95.0,86.0,0.0,top
C40,74.8,57.8,-90.0,top
C41,87.8,56.8,-90.0,top
C42,74.8,49.8,-90.0,top
C43,87.8,48.8,-90.0,top
C44,74.8,41.8,-90.0,top
C45,87.8,40.8,-90.0,top
C46,74.8,33.8,-90.0,top
C47,87.8,32.8,-90.0,top
C48,47.0,45.3,0.0,top
C5,62.75,60.75,90.0,top
C6,61.25,49.0,180.0,top
C7,29.4,58.0,180.0,top
C8,93.5,24.25,90.0,top
C9,22.8,30.9,0.0,top
D1,40.0,46.0,90.0,top
D2,38.0,46.0,90.0,top
D3,23.5,2.7,-90.0,top
R1,40.0,48.7,90.0,top
R10,27.5,28.0,180.0,top
R11,37.5,28.0,0.0,top
R12,39.3,31.21,90.0,top
R13,53.5,28.0,0.0,top
R14,55.3,31.2,90.0,top
R15,69.5,28.0,0.0,top
R16,65.6,29.5,180.0,top
R17,85.5,28.0,0.0,top
R18,81.6,29.5,180.0,top
R19,5.4,17.0,-90.0,top
R2,38.0,48.7,90.0,top
R20,13.09,17.4,180.0,top
R21,48.1,39.0,0.0,top
R22,23.0,5.0,180.0,top
R3,27.5,80.5,-90.0,top
R4,27.49,76.0,180.0,top
R5,27.5,64.0,-90.0,top
R6,27.5,60.0,180.0,top
R7,27.5,48.0,-90.0,top
R8,27.5,44.0,180.0,top
R9,27.5,32.0,-90.0,top
U1,57.0,71.0,-90.0,top
U10,71.0,21.0,-90.0,top
U11,87.0,21.0,-90.0,top
U12,10.1,15.0,0.0,top
U13,70.0,75.0,90.0,top
U14,83.0,74.0,90.0,top
U15,70.0,67.0,90.0,top
U16,83.0,66.0,90.0,top
U17,70.0,59.0,90.0,top
U18,83.0,58.0,90.0,top
U19,70.0,51.0,90.0,top
U2,57.0,55.0,-90.0,top
U20,83.0,50.0,90.0,top
U21,70.0,43.0,90.0,top
U22,83.0,42.0,90.0,top
U23,70.0,35.0,90.0,top
U24,83.0,34.0,90.0,top
U25,40.5,39.0,-90.0,top
U3,57.0,39.0,-90.0,top
U4,20.0,87.0,180.0,top
U5,20.0,71.0,180.0,top
U6,20.0,55.0,180.0,top
U7,20.0,39.0,180.0,top
U8,39.0,21.0,-90.0,top
U9,55.0,21.0,-90.0,top
